DateTime,Open,High,Low,Close,Volume
20171019 18:00:00.000,1.18365,1.18376,1.18270,1.18289,4949124000
20171019 19:00:00.000,1.18288,1.18479,1.18261,1.18406,6831797000
20171019 20:00:00.000,1.18407,1.18578,1.18379,1.18513,6348242000
20171019 21:00:00.000,1.18520,1.18528,1.18425,1.18464,3040480000
20171019 22:00:00.000,1.18463,1.18509,1.18448,1.18470,3128395000
20171019 23:00:00.000,1.18470,1.18528,1.18450,1.18483,4530723000
20171020 00:00:00.000,1.18484,1.18529,1.18436,1.18491,4411651000
20171020 01:00:00.000,1.18491,1.18569,1.18225,1.18230,9161305000
20171020 02:00:00.000,1.18230,1.18230,1.18073,1.18095,16281885000
20171020 03:00:00.000,1.18097,1.18192,1.18080,1.18187,4550708000
20171020 04:00:00.000,1.18187,1.18210,1.18147,1.18150,2968625000
20171020 05:00:00.000,1.18150,1.18167,1.18040,1.18085,5985347000
20171020 06:00:00.000,1.18085,1.18189,1.18044,1.18164,10978563000
20171020 07:00:00.000,1.18164,1.18264,1.17908,1.18053,17303529000
20171020 08:00:00.000,1.18055,1.18073,1.17987,1.18033,13936022000
20171020 09:00:00.000,1.18032,1.18125,1.17959,1.18115,9412072000
20171020 10:00:00.000,1.18115,1.18119,1.17998,1.18067,8890448000
20171020 11:00:00.000,1.18067,1.18203,1.18048,1.18156,13400485000
20171020 12:00:00.000,1.18156,1.18207,1.18010,1.18010,14631686000
20171020 13:00:00.000,1.18011,1.18051,1.17858,1.17874,13850135000
20171020 14:00:00.000,1.17875,1.17994,1.17810,1.17862,17161331000
20171020 15:00:00.000,1.17864,1.17898,1.17625,1.17696,10426271000
20171020 16:00:00.000,1.17696,1.17886,1.17687,1.17837,13343932000
20171020 17:00:00.000,1.17837,1.17868,1.17801,1.17857,3925779000
20171020 18:00:00.000,1.17858,1.17889,1.17709,1.17777,10469293000
20171020 19:00:00.000,1.17777,1.17798,1.17721,1.17728,4731798000
20171020 20:00:00.000,1.17727,1.17831,1.17664,1.17802,3851263000
20171022 21:00:00.000,1.17650,1.17734,1.17633,1.17715,1756604000
20171022 22:00:00.000,1.17716,1.17748,1.17609,1.17616,4063847000
20171022 23:00:00.000,1.17617,1.17653,1.17513,1.17546,4968459000
20171023 00:00:00.000,1.17547,1.17623,1.17537,1.17603,6022465000
20171023 01:00:00.000,1.17602,1.17663,1.17552,1.17653,5193567000
20171023 02:00:00.000,1.17653,1.17708,1.17651,1.17692,3575274000
20171023 03:00:00.000,1.17691,1.17706,1.17672,1.17700,1658861000
20171023 04:00:00.000,1.17699,1.17734,1.17680,1.17698,2519946000
20171023 05:00:00.000,1.17697,1.17727,1.17662,1.17727,2680769000
20171023 06:00:00.000,1.17727,1.17774,1.17591,1.17598,8282134000
20171023 07:00:00.000,1.17597,1.17629,1.17510,1.17558,8595257000
20171023 08:00:00.000,1.17561,1.17578,1.17402,1.17461,9963560000
20171023 09:00:00.000,1.17461,1.17534,1.17351,1.17351,9468352000
20171023 10:00:00.000,1.17352,1.17486,1.17349,1.17444,9006882000
